customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default,PD,Expected_loss
8153374,0,5221.545193,3915.471226,78039.38546,5,605,0,2.5700035650438905e-131,1.2077450784943012e-127
7442532,5,1958.928726,8228.75252,26648.43525,2,572,1,1.0,1763.0358534000002
2256073,0,3363.009259,2027.83085,65866.71246,4,602,0,3.530677462201864e-120,1.068633089633474e-116
4885975,0,4766.648001,2501.730397,74356.88347,5,612,0,1.633973386379391e-134,7.009718378285271e-131
4700614,1,1345.827718,1768.826187,23448.32631,6,631,0,5.3538005249133876e-89,6.484763828764247e-86
4661159,0,5376.886873,7189.121298,85529.84591,2,697,0,1.1235670296102648e-104,5.437163531202332e-101
8291909,1,3634.057471,7085.980095,68691.57707,6,722,0,9.786837545932035e-112,3.2009337091131857e-108
4616950,4,3302.172238,13067.57021,50352.16821,3,545,1,1.0,2971.9550142000003
3395789,0,2938.325123,1918.404472,53497.37754,4,676,0,1.4450329545804971e-119,3.8213789706061135e-116
4045948,0,5396.366774,5298.824524,92349.55399,2,447,0,5.802213683262328e-90,2.8179785822404487e-86
1946105,5,4224.542337,18858.28272,76975.03318,7,640,1,1.0,3802.0881033
7026356,1,5470.06369,10357.63606,98688.26823,5,636,0,8.534752812094814e-102,4.201707731450871e-98
3555143,1,3440.842174,7009.017521,49413.51814,3,527,0,7.024186500404633e-47,2.1752205433770354e-43
1852525,1,4799.604414,7321.171391,81534.51708,5,638,0,4.4402525092658496e-100,1.9180309988472252e-96
2436643,0,2909.447925,2713.013317,62340.39145,2,616,0,8.749819777421218e-97,2.2911430495987913e-93
1089094,0,3281.568882,6447.096241,63042.43756,3,644,0,9.425268983271765e-98,2.7836702459985963e-94
2618670,0,5579.715349,1755.76098,83490.03355,3,606,0,1.3610185166025887e-121,6.834686316624608e-118
4841253,1,4407.471929,8331.603288,54527.70813,3,727,0,6.456468187157277e-66,2.5611032065839496e-62
4522930,5,2761.049506,16620.80342,52428.52206,4,627,1,1.0,2484.9445554
2999053,0,4461.847138,6965.056642,98149.74308,6,581,0,6.62995968303508e-145,2.6623679973124913e-141
2723215,2,3477.433899,8389.081942,70760.64317,8,667,0,2.0069885304658155e-97,6.28125295567142e-94
1467134,4,2608.798997,11177.43742,39682.19883,1,480,1,1.0,2347.9190973
4754857,1,5138.918794,11566.29898,101268.5826,5,677,0,2.1380368890382757e-104,9.88847815620968e-101
4039149,2,4199.164596,9607.021343,62160.28338,6,726,0,9.299770540309205e-72,3.514614048341118e-68
8521446,0,3334.584216,2992.09521,68928.27308,5,596,0,5.875465448436175e-129,1.763301091140777e-125
1279600,1,3079.55134,4606.951938,54592.43358,7,605,0,3.203494371339934e-108,8.878792845548116e-105
7269476,0,3040.960977,4404.918315,47012.43037,2,636,0,8.982576024090693e-82,2.458409684597605e-78
2289318,0,2212.887987,610.7649879,42642.15937,4,642,0,3.6239401166501535e-113,7.217436194768253e-110
6552907,0,3285.841537,4459.926443,66382.17214,4,596,0,4.886108080899686e-112,1.444947919784239e-108
8753437,0,3258.508608,3982.097842,72023.81125,2,667,0,1.1521740834044731e-104,3.3789322518191875e-101
4320547,1,3438.165737,6899.967887,95771.69288,7,580,0,3.448858953469802e-128,1.0671973817008995e-124
5451200,2,4929.427201,10002.59086,65532.66639,4,697,0,1.5881132543459704e-48,7.045639806817493e-45
6325220,5,3507.902474,19990.89793,69486.70311,4,542,1,1.0,3157.1122266
6037431,3,5527.944216,14795.18286,78210.76357,4,668,0,7.368987900739246e-12,3.6661818639298947e-08
3258404,1,3044.751919,4972.39513,53714.70992,6,787,0,4.8182466326322115e-115,1.3203329112829992e-111
4529904,0,2979.485594,5964.402963,60680.19975,4,673,0,3.118939066813366e-111,8.363550616320806e-108
4756862,0,1598.115491,2106.924814,26071.77675,4,609,0,2.7772681168751837e-93,3.994555680214767e-90
2671353,5,5691.710738,25802.3152,85075.45006,4,541,1,1.0,5122.5396642
8919468,0,6122.534809,3308.52031,86757.74902,4,560,0,9.671422681325998e-124,5.329225981707349e-120
7240623,5,4296.127286,22541.026,74379.07589,2,607,1,1.0,3866.5145574
7096072,1,5713.466421,9572.714973,89956.31788,5,631,0,4.3859514222306634e-97,2.255308755754688e-93
6645305,2,3196.367779,12285.43342,92085.61348,7,746,0,1.0389262109463268e-98,2.9887112388846568e-95
8551890,0,5044.106619,5378.621481,91383.46571,4,530,0,1.4521871748171037e-118,6.5924882464696765e-115
7602707,0,3712.750866,3748.47485,58773.4523,6,615,0,1.0157815238951946e-130,3.394209359257815e-127
4951943,5,3308.441678,18042.03529,60513.88204,4,552,1,1.0,2977.5975102
6288882,2,3056.005959,8496.600307,76750.28031,8,606,0,1.0850042639666412e-95,2.9842015466002185e-92
4382360,3,4806.864262,14702.98825,87593.08538,5,599,0,4.241118362139645e-23,1.834783225729293e-19
4144487,0,4392.816559,5063.187358,55462.63115,4,679,0,3.1499552896672307e-109,1.2453458180903869e-105
1629547,0,3019.475375,446.3892355,44638.92355,3,603,0,6.856500137452098e-100,1.8632729991348653e-96
2948051,0,4470.490457,2387.751259,66307.55718,4,764,0,8.511546569777097e-135,3.4245708943049635e-131
1237675,1,4357.308441,10823.44917,89452.65138,6,736,0,2.0245537349398143e-115,7.939444570660197e-112
7125694,0,2904.436456,3806.284655,45019.50894,4,751,0,6.6534131151597845e-115,1.7391974047648743e-111
1113748,1,1888.053856,4179.967159,36004.06641,5,610,0,2.8187299303419095e-77,4.7897225226041885e-74
2512418,4,3167.933042,11269.54487,53739.73516,7,663,0,7.052876616639395e-12,2.0108736787500997e-08
7678486,0,2647.608576,3633.448864,69427.6089,6,737,0,5.791784331037513e-153,1.3800940078677608e-149
5161636,0,2264.648869,2138.377198,30248.31246,3,629,0,2.8230349999942134e-87,5.753864717895879e-84
7365670,3,2673.54163,7233.006733,46791.58228,7,689,0,7.17876395066672e-50,1.727345184664567e-46
6381573,5,3848.509319,18052.44355,60919.57161,4,587,1,1.0,3463.6583871
3238472,5,4604.738825,24614.66577,78697.94413,5,692,1,1.0,4144.264942500001
3252127,0,3372.376095,3405.489888,55026.27562,3,706,0,3.9232786453511445e-108,1.1907694005845564e-104
8571897,1,4689.997284,7454.473944,89940.20848,8,515,0,4.9184206476833875e-124,2.0760641531284148e-120
1444612,0,2813.780246,1909.867606,47804.87496,6,702,0,9.311474084817228e-139,2.358039765689968e-135
6562873,0,3369.099325,3477.305329,51756.93553,3,638,0,2.047853427118724e-98,6.209479439104167e-95
6714332,1,3179.923385,6909.539007,77842.18685,6,612,0,3.121779260844779e-108,8.934316986931496e-105
3087069,0,4294.47539,7237.49265,70514.35871,3,583,0,3.967489922390759e-93,1.533445904860211e-89
8010926,0,6148.494512,843.3674406,84336.74406,5,720,0,6.741511920801165e-157,3.730513414286569e-153
6551322,0,5204.224599,5528.201971,106426.3955,4,607,0,4.982368310405993e-137,2.3336427350063643e-133
3672265,1,5423.942645,8524.640887,99150.69003,7,750,0,1.3695298453653837e-140,6.685426198689805e-137
3068840,0,5259.363393,885.0746882,88507.46882,5,662,0,6.5065575853676155e-155,3.079831570103602e-151
6031818,5,3280.272295,18732.54767,67417.22083,3,563,1,1.0,2952.2450655000002
6410292,0,3691.985766,5641.919221,75507.14829,4,611,0,5.547093178504582e-116,1.8431810151943153e-112
